uid;pid;cid;fecha
29;;92;07-15-2021
54;;103;07-15-2021
65;;103;07-15-2021
16;;136;07-15-2021
50;100;;07-15-2021
35;;108;07-15-2021
30;;155;07-15-2021
142;;60;07-15-2021
50;;87;07-15-2021
52;;89;07-16-2021
106;;103;07-16-2021
51;;141;07-16-2021
82;;106;07-16-2021
18;;69;07-17-2021
108;14;;07-17-2021
97;;147;07-17-2021
24;;112;07-17-2021
56;82;;07-17-2021
60;53;;07-18-2021
26;;104;07-18-2021
60;;148;07-18-2021
62;;63;07-18-2021
119;;134;07-18-2021
39;80;;07-18-2021
122;;140;07-18-2021
18;48;;07-18-2021
4;;146;07-18-2021
72;;46;07-18-2021
51;;100;07-18-2021
59;;132;07-19-2021
70;;109;07-19-2021
40;;85;07-20-2021
57;;91;07-20-2021
108;;85;07-20-2021
18;;86;07-20-2021
12;;127;07-20-2021
90;;135;07-20-2021
26;;4;07-20-2021
133;8;;07-20-2021
66;;108;07-21-2021
17;88;;07-21-2021
46;;2;07-21-2021
122;26;;07-21-2021
26;13;;07-22-2021
76;;124;07-22-2021
6;;88;07-22-2021
62;;119;07-22-2021
40;82;;07-22-2021
50;;67;07-22-2021
122;39;;07-22-2021
30;75;;07-22-2021
48;;120;07-22-2021
21;;4;07-22-2021
92;35;;07-23-2021
132;;24;07-23-2021
130;17;;07-23-2021
46;;4;07-23-2021
141;48;;07-23-2021
65;82;;07-23-2021
2;42;;07-23-2021
106;;102;07-23-2021
76;;110;07-23-2021
18;;105;07-23-2021
142;;54;07-24-2021
64;;141;07-24-2021
2;76;;07-24-2021
80;5;;07-24-2021
30;;154;07-25-2021
60;;146;07-25-2021
12;;126;07-25-2021
58;;132;07-25-2021
130;65;;07-25-2021
62;;93;07-25-2021
49;;118;07-25-2021
69;;96;07-25-2021
66;;138;07-26-2021
67;50;;07-26-2021
130;41;;07-26-2021
37;48;;07-26-2021
1;85;;07-26-2021
27;41;;07-26-2021
37;17;;07-27-2021
68;;122;07-27-2021
14;;104;07-27-2021
76;;120;07-27-2021
43;64;;07-27-2021
50;;104;07-27-2021
27;;87;07-28-2021
73;;140;07-28-2021
25;48;;07-28-2021
133;;130;07-28-2021
65;1;;07-29-2021
55;;87;07-29-2021
3;;133;07-29-2021
105;;133;07-29-2021
66;;127;07-29-2021
36;;86;07-29-2021
130;72;;07-29-2021
90;33;;07-29-2021
52;54;;07-29-2021
51;;101;07-30-2021
76;;84;07-30-2021
65;;93;07-30-2021
61;;81;07-30-2021
22;;95;07-30-2021
57;84;;07-30-2021
61;;89;07-31-2021
26;;90;07-31-2021
146;;77;07-31-2021
48;44;;07-31-2021
45;;76;07-31-2021
87;41;;08-01-2021
26;;103;08-01-2021
54;;81;08-01-2021
132;;49;08-01-2021
60;;99;08-01-2021
35;35;;08-01-2021
23;;5;08-01-2021
54;;27;08-01-2021
4;31;;08-02-2021
54;;102;08-02-2021
119;;103;08-02-2021
26;;102;08-02-2021
50;14;;08-02-2021
119;;102;08-02-2021
35;20;;08-02-2021
50;;97;08-02-2021
24;14;;08-02-2021
60;;86;08-03-2021
38;;37;08-03-2021
66;75;;08-03-2021
26;;69;08-03-2021
64;73;;08-03-2021
34;;155;08-03-2021
48;;151;08-03-2021
24;54;;08-04-2021
7;;145;08-04-2021
17;26;;08-04-2021
7;36;;08-04-2021
76;;108;08-04-2021
59;;146;08-05-2021
76;;109;08-05-2021
65;96;;08-05-2021
26;;2;08-05-2021
92;99;;08-05-2021
58;65;;08-06-2021
77;;134;08-06-2021
12;;92;08-06-2021
54;;17;08-06-2021
105;;145;08-06-2021
65;74;;08-06-2021
14;;116;08-06-2021
7;13;;08-06-2021
21;;156;08-07-2021
52;;140;08-07-2021
66;;126;08-08-2021
93;70;;08-08-2021
34;;153;08-08-2021
49;;105;08-08-2021
46;;103;08-08-2021
56;;141;08-08-2021
52;;87;08-08-2021
92;85;;08-08-2021
146;19;;08-08-2021
4;;102;08-08-2021
16;;135;08-08-2021
60;;101;08-09-2021
73;;104;08-09-2021
92;;146;08-09-2021
3;;104;08-09-2021
28;2;;08-09-2021
58;;78;08-10-2021
122;;126;08-10-2021
41;37;;08-10-2021
39;;126;08-10-2021
70;;141;08-10-2021
62;5;;08-10-2021
40;;132;08-11-2021
60;;85;08-11-2021
59;79;;08-11-2021
51;;113;08-11-2021
3;;43;08-12-2021
14;;133;08-12-2021
22;;118;08-12-2021
57;77;;08-12-2021
54;;147;08-12-2021
76;;92;08-12-2021
51;;112;08-12-2021
35;;19;08-12-2021
115;;127;08-12-2021
28;;114;08-12-2021
66;;121;08-12-2021
62;;15;08-12-2021
76;;121;08-13-2021
66;;140;08-13-2021
44;;99;08-13-2021
134;;136;08-13-2021
133;;79;08-13-2021
146;;89;08-13-2021
34;;154;08-13-2021
3;;100;08-14-2021
9;86;;08-14-2021
4;;128;08-14-2021
48;;152;08-15-2021
119;;87;08-15-2021
62;60;;08-15-2021
44;;139;08-15-2021
54;88;;08-15-2021
62;101;;08-15-2021
20;88;;08-15-2021
72;82;;08-15-2021
14;;116;08-16-2021
23;;110;08-16-2021
97;;85;08-16-2021
71;;135;08-16-2021
66;;109;08-16-2021
4;;148;08-16-2021
65;20;;08-16-2021
90;;2;08-16-2021
59;68;;08-16-2021
49;;109;08-17-2021
122;78;;08-17-2021
41;38;;08-17-2021
20;51;;08-17-2021
7;;144;08-17-2021
59;;134;08-17-2021
119;;88;08-17-2021
122;;127;08-18-2021
134;85;;08-18-2021
1;83;;08-18-2021
82;76;;08-18-2021
14;;114;08-18-2021
14;;124;08-18-2021
44;;112;08-18-2021
73;48;;08-18-2021
56;101;;08-19-2021
37;;133;08-19-2021
45;;115;08-19-2021
23;;121;08-19-2021
40;48;;08-19-2021
23;;109;08-19-2021
105;85;;08-20-2021
63;;17;08-20-2021
31;44;;08-20-2021
122;;90;08-20-2021
74;;134;08-20-2021
15;;96;08-20-2021
54;;28;08-21-2021
142;21;;08-21-2021
24;;109;08-21-2021
49;;89;08-21-2021
22;;26;08-21-2021
23;;85;08-21-2021
76;;90;08-22-2021
52;5;;08-22-2021
70;;24;08-22-2021
2;49;;08-22-2021
133;62;;08-22-2021
35;5;;08-22-2021
95;85;;08-22-2021
60;17;;08-23-2021
12;;5;08-23-2021
97;;90;08-23-2021
123;;114;08-23-2021
4;39;;08-23-2021
132;;23;08-24-2021
133;;80;08-24-2021
115;;42;08-24-2021
119;;102;08-24-2021
39;;125;08-24-2021
25;78;;08-24-2021
134;;153;08-24-2021
68;;157;08-24-2021
142;88;;08-24-2021
46;75;;08-25-2021
60;;89;08-25-2021
52;;129;08-25-2021
115;;143;08-25-2021
43;20;;08-25-2021
76;35;;08-25-2021
60;;142;08-26-2021
122;;129;08-26-2021
4;;149;08-26-2021
7;;138;08-26-2021
23;;120;08-26-2021
35;;110;08-27-2021
4;;86;08-27-2021
66;;120;08-27-2021
7;;93;08-27-2021
4;;103;08-27-2021
1;;90;08-27-2021
108;;137;08-27-2021
63;;27;08-27-2021
29;40;;08-27-2021
7;;104;08-27-2021
115;;142;08-27-2021
60;;143;08-27-2021
87;40;;08-28-2021
23;100;;08-28-2021
64;;86;08-28-2021
68;8;;08-28-2021
60;26;;08-28-2021
50;;144;08-29-2021
19;;121;08-29-2021
20;48;;08-29-2021
39;;73;08-29-2021
67;;73;08-29-2021
4;;131;08-29-2021
77;;118;08-29-2021
73;19;;08-29-2021
29;93;;08-30-2021
41;75;;08-30-2021
41;26;;08-30-2021
82;;119;08-30-2021
76;;116;08-30-2021
82;;136;08-30-2021
4;;130;08-30-2021
36;;84;08-30-2021
41;;114;08-30-2021
82;;137;08-30-2021
45;;80;08-30-2021
142;81;;08-30-2021
15;;2;08-30-2021
82;99;;08-30-2021
95;48;;08-31-2021
36;;3;08-31-2021
23;54;;08-31-2021
130;88;;08-31-2021
66;;124;08-31-2021
55;;125;08-31-2021
108;;135;08-31-2021
82;;135;08-31-2021
67;;37;09-01-2021
146;40;;09-01-2021
64;39;;09-01-2021
36;;157;09-01-2021
50;;66;09-01-2021
133;;77;09-01-2021
70;49;;09-01-2021
60;;147;09-01-2021
16;;141;09-01-2021
60;;141;09-02-2021
13;;132;09-02-2021
66;;128;09-02-2021
68;;58;09-02-2021
14;;102;09-02-2021
72;40;;09-03-2021
44;;130;09-03-2021
11;;130;09-03-2021
66;;75;09-03-2021
82;;118;09-03-2021
82;;117;09-03-2021
17;65;;09-03-2021
66;;145;09-03-2021
22;;89;09-03-2021
133;;82;09-03-2021
130;85;;09-04-2021
142;54;;09-04-2021
17;;115;09-04-2021
67;51;;09-04-2021
28;38;;09-04-2021
55;76;;09-05-2021
132;2;;09-05-2021
90;;35;09-05-2021
134;;118;09-05-2021
64;;88;09-05-2021
76;;91;09-05-2021
50;;118;09-05-2021
58;;35;09-05-2021
69;;136;09-05-2021
37;;129;09-06-2021
87;;105;09-06-2021
23;;2;09-06-2021
12;;90;09-06-2021
142;;106;09-06-2021
90;;113;09-06-2021
97;;84;09-06-2021
115;5;;09-07-2021
92;;121;09-07-2021
67;37;;09-07-2021
142;;81;09-07-2021
23;;64;09-07-2021
23;;112;09-07-2021
142;;104;09-07-2021
60;;100;09-08-2021
87;65;;09-08-2021
65;;76;09-08-2021
44;;111;09-08-2021
142;96;;09-08-2021
133;;76;09-08-2021
70;;137;09-09-2021
93;96;;09-09-2021
44;;131;09-09-2021
11;26;;09-09-2021
64;48;;09-09-2021
44;;98;09-09-2021
122;;138;09-09-2021
72;;103;09-10-2021
70;;154;09-10-2021
57;54;;09-10-2021
66;;123;09-10-2021
6;;78;09-10-2021
90;93;;09-10-2021
54;;134;09-10-2021
60;;144;09-10-2021
7;;96;09-10-2021
12;5;;09-10-2021
66;;87;09-11-2021
108;;104;09-11-2021
37;;132;09-11-2021
130;72;;09-11-2021
4;;84;09-11-2021
95;65;;09-11-2021
73;;35;09-11-2021
28;90;;09-11-2021
142;95;;09-12-2021
76;;115;09-12-2021
55;;88;09-12-2021
64;21;;09-13-2021
142;;51;09-13-2021
66;;72;09-13-2021
2;101;;09-13-2021
23;;144;09-13-2021
1;74;;09-13-2021
52;;128;09-13-2021
10;76;;09-13-2021
55;;123;09-13-2021
46;;66;09-13-2021
27;72;;09-13-2021
90;;34;09-13-2021
73;;108;09-14-2021
90;;39;09-14-2021
23;;111;09-14-2021
142;;107;09-14-2021
65;5;;09-14-2021
58;;107;09-15-2021
14;7;;09-15-2021
39;;135;09-15-2021
22;;69;09-15-2021
90;;112;09-15-2021
35;21;;09-16-2021
55;;22;09-16-2021
11;38;;09-16-2021
67;80;;09-16-2021
46;42;;09-16-2021
134;;115;09-16-2021
44;26;;09-17-2021
49;;94;09-17-2021
108;;102;09-17-2021
23;;156;09-18-2021
64;;87;09-18-2021
50;23;;09-18-2021
108;;95;09-18-2021
76;;85;09-18-2021
3;;101;09-18-2021
97;;149;09-18-2021
55;;124;09-19-2021
21;36;;09-19-2021
23;;108;09-19-2021
82;100;;09-19-2021
40;;86;09-19-2021
55;84;;09-19-2021
76;;86;09-19-2021
12;;68;09-19-2021
16;;123;09-19-2021
46;;102;09-19-2021
23;;134;09-19-2021
73;;89;09-19-2021
59;;133;09-19-2021
74;;46;09-20-2021
37;;109;09-20-2021
44;;113;09-20-2021
134;48;;09-20-2021
76;;122;09-20-2021
133;21;;09-20-2021
3;;134;09-20-2021
23;;133;09-20-2021
133;;140;09-20-2021
60;;87;09-21-2021
55;;9;09-21-2021
3;;132;09-21-2021
66;;125;09-21-2021
80;101;;09-21-2021
23;;113;09-21-2021
133;;142;09-21-2021
11;;90;09-21-2021
63;62;;09-21-2021
35;;82;09-21-2021
133;38;;09-21-2021
90;;111;09-21-2021
11;83;;09-22-2021
133;65;;09-22-2021
40;;102;09-22-2021
20;85;;09-22-2021
64;;84;09-22-2021
61;;128;09-22-2021
1;7;;09-22-2021
22;;21;09-23-2021
52;;139;09-23-2021
43;;104;09-23-2021
59;;145;09-23-2021
31;73;;09-23-2021
41;;116;09-23-2021
19;83;;09-24-2021
90;40;;09-24-2021
21;13;;09-24-2021
67;76;;09-24-2021
49;;66;09-24-2021
68;74;;09-24-2021
130;;113;09-24-2021
77;;67;09-24-2021
44;;102;09-24-2021
130;;157;09-24-2021
39;;91;09-24-2021
45;49;;09-25-2021
142;75;;09-25-2021
17;5;;09-25-2021
134;50;;09-25-2021
92;;115;09-25-2021
73;;109;09-25-2021
45;65;;09-26-2021
7;;98;09-26-2021
65;72;;09-26-2021
66;;139;09-26-2021
130;;111;09-26-2021
44;39;;09-26-2021
69;;97;09-26-2021
16;101;;09-26-2021
130;;156;09-26-2021
43;;151;09-26-2021
43;;74;09-27-2021
12;29;;09-27-2021
4;42;;09-27-2021
26;;105;09-27-2021
43;;139;09-27-2021
40;95;;09-27-2021
14;;115;09-28-2021
119;;79;09-28-2021
2;;107;09-28-2021
80;20;;09-28-2021
21;75;;09-28-2021
80;1;;09-29-2021
41;;84;09-29-2021
13;34;;09-29-2021
56;;143;09-29-2021
20;54;;09-29-2021
90;;49;09-29-2021
67;;31;09-29-2021
37;75;;09-29-2021
74;19;;09-29-2021
20;48;;09-29-2021
21;;78;09-29-2021
5;66;;09-30-2021
142;101;;09-30-2021
133;;156;09-30-2021
134;81;;09-30-2021
32;;116;09-30-2021
133;;144;09-30-2021
13;42;;09-30-2021
44;;154;09-30-2021
67;;44;09-30-2021
36;;151;10-01-2021
61;;121;10-01-2021
133;;145;10-01-2021
119;1;;10-01-2021
43;;152;10-01-2021
68;;102;10-01-2021
44;;86;10-01-2021
58;60;;10-02-2021
64;17;;10-02-2021
32;;62;10-03-2021
95;83;;10-03-2021
12;;3;10-03-2021
25;86;;10-03-2021
133;;157;10-03-2021
43;;102;10-03-2021
92;7;;10-03-2021
55;;27;10-03-2021
48;20;;10-04-2021
37;99;;10-04-2021
133;49;;10-04-2021
30;61;;10-04-2021
97;;102;10-04-2021
41;100;;10-04-2021
67;81;;10-04-2021
133;65;;10-05-2021
22;;98;10-05-2021
119;75;;10-05-2021
43;;25;10-05-2021
48;;55;10-05-2021
27;;91;10-05-2021
73;;103;10-05-2021
90;;47;10-05-2021
36;;114;10-05-2021
18;;145;10-05-2021
50;43;;10-06-2021
43;;115;10-06-2021
50;;98;10-06-2021
133;74;;10-06-2021
44;75;;10-06-2021
56;93;;10-06-2021
48;95;;10-06-2021
73;;138;10-06-2021
44;;93;10-06-2021
90;;23;10-06-2021
15;34;;10-06-2021
142;;143;10-07-2021
16;;86;10-07-2021
73;;110;10-07-2021
45;49;;10-07-2021
133;80;;10-07-2021
30;;113;10-07-2021
59;;84;10-08-2021
49;;87;10-08-2021
97;60;;10-08-2021
26;;148;10-08-2021
68;;63;10-08-2021
44;;153;10-08-2021
25;;114;10-08-2021
67;;32;10-08-2021
64;;85;10-09-2021
146;5;;10-09-2021
32;;54;10-09-2021
69;85;;10-09-2021
50;75;;10-09-2021
16;;124;10-09-2021
17;95;;10-09-2021
40;70;;10-09-2021
133;19;;10-10-2021
67;40;;10-10-2021
115;;140;10-10-2021
119;;89;10-10-2021
12;;89;10-10-2021
119;5;;10-11-2021
133;;110;10-11-2021
67;;74;10-11-2021
23;;122;10-11-2021
49;;110;10-11-2021
141;;92;10-12-2021
36;;85;10-12-2021
20;81;;10-12-2021
68;;114;10-12-2021
97;54;;10-12-2021
22;;87;10-12-2021
50;;69;10-12-2021
7;54;;10-12-2021
52;31;;10-12-2021
30;;106;10-12-2021
68;;151;10-12-2021
65;66;;10-12-2021
119;;85;10-12-2021
87;;99;10-12-2021
54;74;;10-12-2021
119;;87;10-13-2021
48;31;;10-13-2021
97;;106;10-13-2021
21;;156;10-13-2021
87;50;;10-13-2021
77;77;;10-13-2021
8;75;;10-13-2021
130;74;;10-13-2021
67;100;;10-13-2021
50;;117;10-14-2021
43;;103;10-14-2021
23;;67;10-14-2021
105;65;;10-14-2021
146;;88;10-14-2021
16;83;;10-14-2021
132;;6;10-15-2021
132;;37;10-15-2021
50;;122;10-15-2021
6;;156;10-15-2021
21;62;;10-16-2021
97;;132;10-16-2021
13;;157;10-16-2021
55;100;;10-16-2021
119;;80;10-16-2021
80;82;;10-16-2021
50;99;;10-16-2021
49;;93;10-16-2021
37;;130;10-17-2021
134;;154;10-17-2021
122;9;;10-17-2021
134;;153;10-17-2021
3;101;;10-17-2021
90;50;;10-17-2021
130;52;;10-18-2021
33;64;;10-18-2021
97;101;;10-18-2021
50;;96;10-18-2021
108;;93;10-18-2021
27;;88;10-18-2021
67;;72;10-18-2021
32;65;;10-18-2021
65;;80;10-18-2021
44;;106;10-19-2021
37;42;;10-19-2021
44;;101;10-19-2021
97;65;;10-19-2021
90;;17;10-19-2021
19;19;;10-20-2021
22;;129;10-20-2021
43;8;;10-20-2021
30;;153;10-20-2021
70;;136;10-20-2021
21;;77;10-20-2021
40;;74;10-20-2021
97;;104;10-21-2021
16;;137;10-21-2021
45;;138;10-21-2021
8;;106;10-21-2021
44;;94;10-21-2021
68;54;;10-21-2021
105;;99;10-21-2021
130;;112;10-21-2021
70;38;;10-21-2021
44;;103;10-21-2021
7;;140;10-21-2021
36;;103;10-21-2021
30;;105;10-21-2021
56;;99;10-22-2021
56;;101;10-22-2021
73;;88;10-22-2021
6;;89;10-22-2021
36;;67;10-22-2021
44;;106;10-22-2021
71;82;;10-22-2021
68;61;;10-22-2021
16;;48;10-22-2021
3;;103;10-23-2021
61;;82;10-23-2021
56;;142;10-23-2021
70;;137;10-23-2021
50;75;;10-23-2021
67;;70;10-23-2021
2;;105;10-23-2021
68;;104;10-23-2021
68;;52;10-23-2021
1;32;;10-23-2021
66;;71;10-24-2021
66;85;;10-24-2021
52;;117;10-24-2021
20;81;;10-24-2021
146;;87;10-25-2021
71;;79;10-25-2021
50;54;;10-25-2021
55;;10;10-25-2021
66;;146;10-25-2021
134;;117;10-25-2021
142;70;;10-26-2021
33;;95;10-26-2021
20;5;;10-26-2021
93;;82;10-26-2021
43;59;;10-26-2021
40;;127;10-26-2021
16;;85;10-26-2021
52;;127;10-26-2021
62;54;;10-27-2021
25;;154;10-27-2021
97;72;;10-27-2021
52;;130;10-27-2021
33;;87;10-27-2021
142;;105;10-27-2021
108;75;;10-27-2021
70;;135;10-27-2021
58;;133;10-28-2021
141;;119;10-28-2021
43;;143;10-28-2021
35;21;;10-29-2021
1;73;;10-29-2021
16;;125;10-29-2021
14;;109;10-29-2021
61;;126;10-29-2021
130;85;;10-30-2021
9;31;;10-30-2021
9;73;;10-30-2021
122;;128;10-30-2021
11;;129;10-30-2021
48;;156;10-30-2021
43;;116;10-30-2021
18;;146;10-31-2021
9;20;;10-31-2021
33;;100;10-31-2021
69;35;;10-31-2021
108;;144;10-31-2021
108;;84;10-31-2021
58;;106;10-31-2021
68;33;;10-31-2021
48;73;;10-31-2021
43;85;;10-31-2021
132;;8;11-01-2021
97;;134;11-01-2021
52;73;;11-01-2021
67;;39;11-01-2021
9;45;;11-01-2021
9;73;;11-01-2021
36;;104;11-01-2021
40;;139;11-01-2021
87;;147;11-01-2021
41;;35;11-01-2021
9;44;;11-01-2021
36;;116;11-01-2021
7;;5;11-01-2021
61;;108;11-02-2021
45;45;;11-02-2021
16;81;;11-02-2021
132;100;;11-02-2021
43;;16;11-02-2021
66;;122;11-02-2021
9;20;;11-02-2021
67;;143;11-02-2021
8;;85;11-03-2021
115;;156;11-03-2021
22;;157;11-03-2021
8;;154;11-03-2021
26;88;;11-03-2021
21;75;;11-03-2021
44;;104;11-03-2021
134;21;;11-03-2021
8;;70;11-03-2021
8;;86;11-03-2021
8;;84;11-04-2021
59;;97;11-04-2021
40;;138;11-04-2021
108;;129;11-04-2021
146;;137;11-04-2021
9;66;;11-04-2021
12;2;;11-04-2021
7;62;;11-05-2021
8;;116;11-05-2021
59;;106;11-05-2021
9;66;;11-05-2021
8;;59;11-05-2021
77;;117;11-05-2021
134;;135;11-05-2021
93;;155;11-05-2021
15;;112;11-05-2021
8;;128;11-06-2021
56;40;;11-06-2021
12;83;;11-06-2021
43;;114;11-06-2021
8;;155;11-06-2021
22;;97;11-06-2021
8;;126;11-06-2021
7;5;;11-06-2021
8;;153;11-06-2021
26;;91;11-06-2021
59;;96;11-07-2021
142;;77;11-07-2021
130;;3;11-07-2021
8;;127;11-07-2021
17;;89;11-07-2021
41;;115;11-07-2021
9;97;;11-07-2021
9;30;;11-07-2021
72;;150;11-07-2021
24;;150;11-07-2021
9;13;;11-07-2021
35;75;;11-07-2021
20;;131;11-08-2021
26;65;;11-08-2021
77;17;;11-08-2021
52;;138;11-08-2021
20;50;;11-08-2021
52;5;;11-08-2021
105;26;;11-09-2021
105;35;;11-09-2021
5;;87;11-09-2021
36;;7;11-09-2021
44;;110;11-10-2021
50;;119;11-10-2021
9;45;;11-10-2021
17;51;;11-10-2021
20;;129;11-10-2021
43;74;;11-10-2021
66;;106;11-10-2021
87;101;;11-10-2021
23;;60;11-11-2021
7;;139;11-11-2021
39;;90;11-11-2021
93;;154;11-11-2021
37;;75;11-11-2021
32;;138;11-11-2021
9;31;;11-11-2021
39;;143;11-11-2021
9;97;;11-11-2021
142;50;;11-12-2021
12;;66;11-12-2021
43;83;;11-12-2021
43;;30;11-12-2021
23;;105;11-12-2021
48;65;;11-12-2021
93;1;;11-13-2021
119;;104;11-13-2021
67;;107;11-13-2021
133;;143;11-13-2021
22;61;;11-13-2021
1;;157;11-13-2021
37;;72;11-13-2021
105;;101;11-13-2021
97;;86;11-13-2021
7;;94;11-13-2021
39;;51;11-13-2021
5;;88;11-14-2021
108;;145;11-14-2021
93;35;;11-14-2021
115;88;;11-14-2021
1;42;;11-14-2021
93;1;;11-14-2021
90;;137;11-14-2021
5;75;;11-15-2021
22;;55;11-15-2021
61;;120;11-15-2021
134;;154;11-15-2021
43;;150;11-15-2021
119;;132;11-15-2021
5;64;;11-15-2021
22;86;;11-16-2021
87;93;;11-16-2021
134;;155;11-16-2021
32;5;;11-16-2021
40;;139;11-16-2021
54;;18;11-16-2021
87;93;;11-16-2021
21;13;;11-16-2021
26;;147;11-16-2021
58;;134;11-17-2021
20;88;;11-17-2021
40;;138;11-17-2021
97;;107;11-17-2021
14;;35;11-17-2021
77;;147;11-17-2021
7;9;;11-17-2021
12;50;;11-17-2021
62;;95;11-17-2021
36;;150;11-17-2021
64;31;;11-18-2021
74;7;;11-18-2021
22;;133;11-18-2021
23;;140;11-18-2021
65;;77;11-18-2021
22;;56;11-19-2021
59;;105;11-19-2021
5;64;;11-19-2021
44;;96;11-19-2021
33;;93;11-19-2021
119;54;;11-19-2021
68;;152;11-19-2021
132;;149;11-19-2021
5;62;;11-19-2021
36;;152;11-19-2021
7;;146;11-19-2021
33;82;;11-19-2021
13;;156;11-20-2021
7;54;;11-20-2021
5;8;;11-20-2021
108;31;;11-20-2021
72;93;;11-20-2021
48;49;;11-20-2021
7;;65;11-20-2021
134;;119;11-20-2021
132;64;;11-20-2021
13;;42;11-20-2021
23;;64;11-20-2021
32;;123;11-20-2021
25;;153;11-20-2021
132;;148;11-21-2021
22;;107;11-21-2021
37;40;;11-21-2021
32;19;;11-21-2021
57;101;;11-21-2021
130;19;;11-21-2021
5;42;;11-21-2021
52;30;;11-21-2021
48;;122;11-21-2021
10;86;;11-21-2021
43;;20;11-21-2021
37;;70;11-21-2021
130;7;;11-21-2021
53;13;;11-22-2021
39;;128;11-22-2021
15;35;;11-22-2021
22;;116;11-22-2021
14;;42;11-22-2021
37;;71;11-22-2021
2;100;;11-22-2021
44;;97;11-22-2021
68;;56;11-22-2021
32;;156;11-22-2021
20;5;;11-23-2021
53;;65;11-23-2021
134;;137;11-23-2021
119;;143;11-23-2021
53;;131;11-23-2021
12;;117;11-23-2021
53;13;;11-23-2021
39;;127;11-23-2021
119;77;;11-23-2021
22;;133;11-23-2021
53;;68;11-23-2021
57;75;;11-23-2021
132;29;;11-23-2021
53;36;;11-23-2021
53;74;;11-23-2021
53;84;;11-23-2021
123;;103;11-23-2021
15;;111;11-24-2021
43;;135;11-24-2021
5;48;;11-24-2021
53;78;;11-24-2021
48;;97;11-24-2021
67;48;;11-24-2021
53;;1;11-24-2021
53;84;;11-25-2021
130;;60;11-25-2021
56;;116;11-25-2021
53;62;;11-25-2021
40;80;;11-25-2021
53;5;;11-25-2021
53;9;;11-25-2021
77;;132;11-25-2021
53;5;;11-25-2021
108;;86;11-25-2021
28;42;;11-25-2021
64;;155;11-25-2021
43;70;;11-26-2021
74;;138;11-26-2021
20;54;;11-26-2021
12;;4;11-26-2021
18;;126;11-26-2021
46;45;;11-26-2021
33;;105;11-26-2021
14;;151;11-26-2021
5;;89;11-27-2021
68;53;;11-27-2021
71;;82;11-27-2021
31;38;;11-27-2021
22;;146;11-27-2021
52;;126;11-27-2021
49;;122;11-27-2021
119;;142;11-27-2021
31;33;;11-27-2021
46;;110;11-27-2021
97;;9;11-27-2021
44;;105;11-27-2021
31;54;;11-27-2021
22;;60;11-27-2021
119;;99;11-28-2021
8;;139;11-28-2021
52;66;;11-28-2021
31;;125;11-28-2021
12;;91;11-28-2021
24;;123;11-28-2021
142;;75;11-28-2021
44;;107;11-28-2021
31;77;;11-28-2021
73;;116;11-28-2021
48;;96;11-29-2021
15;60;;11-29-2021
119;;88;11-29-2021
44;;95;11-29-2021
72;62;;11-29-2021
40;97;;11-29-2021
87;;107;11-29-2021
54;;96;11-29-2021
39;;123;11-30-2021
58;42;;11-30-2021
54;;137;11-30-2021
15;;146;11-30-2021
22;;145;11-30-2021
33;;106;12-01-2021
22;;132;12-01-2021
14;;110;12-01-2021
36;;102;12-01-2021
59;;157;12-01-2021
108;;146;12-01-2021
36;;5;12-01-2021
146;80;;12-02-2021
64;;153;12-02-2021
49;77;;12-02-2021
119;;101;12-02-2021
31;48;;12-02-2021
68;;106;12-02-2021
72;72;;12-02-2021
119;42;;12-03-2021
33;;88;12-03-2021
132;;137;12-03-2021
28;;132;12-03-2021
54;;136;12-03-2021
65;;121;12-03-2021
33;;143;12-03-2021
11;77;;12-03-2021
18;;106;12-03-2021
44;88;;12-03-2021
21;;143;12-03-2021
13;;133;12-03-2021
25;;1;12-03-2021
119;;88;12-03-2021
132;5;;12-03-2021
15;;113;12-03-2021
22;;156;12-03-2021
14;;108;12-03-2021
5;5;;12-04-2021
22;;106;12-04-2021
59;;94;12-04-2021
66;;89;12-04-2021
108;;131;12-04-2021
20;83;;12-04-2021
72;101;;12-04-2021
115;9;;12-04-2021
93;;153;12-05-2021
39;;62;12-05-2021
22;;150;12-05-2021
75;85;;12-05-2021
32;;114;12-05-2021
22;;61;12-05-2021
68;;156;12-05-2021
68;;54;12-05-2021
119;;87;12-05-2021
119;72;;12-05-2021
12;;147;12-06-2021
73;;114;12-06-2021
44;;100;12-06-2021
40;;104;12-06-2021
8;;135;12-06-2021
122;;92;12-06-2021
68;;103;12-06-2021
63;20;;12-07-2021
16;;92;12-07-2021
22;;157;12-07-2021
133;;145;12-07-2021
119;;107;12-07-2021
93;5;;12-07-2021
93;72;;12-08-2021
93;35;;12-08-2021
18;32;;12-08-2021
92;;94;12-08-2021
24;38;;12-08-2021
39;;74;12-08-2021
40;20;;12-08-2021
132;50;;12-08-2021
133;;129;12-08-2021
68;95;;12-08-2021
22;;134;12-08-2021
43;;88;12-08-2021
105;;100;12-09-2021
63;;145;12-09-2021
19;1;;12-09-2021
132;59;;12-09-2021
59;33;;12-09-2021
23;;61;12-09-2021
25;;67;12-09-2021
5;97;;12-09-2021
73;;37;12-09-2021
95;51;;12-09-2021
24;;157;12-09-2021
31;34;;12-09-2021
92;;84;12-09-2021
92;;96;12-10-2021
6;62;;12-10-2021
105;;91;12-10-2021
142;;116;12-10-2021
18;;151;12-10-2021
36;83;;12-10-2021
46;;124;12-10-2021
