pid;sid;cid;titulo;duracion;clasificacion;puntuacion;año;numero;serie;genero
;4;56;Viento;20;PG-13;9.8;2007;3;Naruto Shippuden;Drama
;1;68;Episode 4;65;R;8;2019;2;Sex Education;Drama
;4;61;La pupila de la serpiente;20;PG-13;9.8;2007;6;Naruto Shippuden;Drama
;19;121;En mi tiempo de morir;50;PG-13;8.5;2005;2;Supernatural;Drama
;20;124;Las aventuras de Supergirl;40;G;6.4;2015;2;Supergirl;Drama
;11;96;Casete 1: lado A;60;R;8.3;2017;1;13 reasons why;Drama
;28;149;Los contratiempos de la Fortuna;45;PG-13;8;2007;3;Gossip Girl;Drama
;10;93;Midoriya Izuku: Origen;24;G;8.6;2015;1;My Hero Academia;Drama
;9;92;Olding;58;PG-13;9.5;2016;3;The Crown;Drama
;5;72;Principios y finales;53;PG-13;9.9;2017;2;Dark;Drama
;22;129;Episode 1;40;PG;8.6;2013;1;Peaky Blinders;Drama
;4;53;El nuevo objetivo;22;PG-13;9.8;2007;2;Naruto Shippuden;Drama
;15;109;Empapada;62;PG-13;9.2;2017;2;Atypical;Drama
;28;148;Verano: una especie de maravilla;42;PG-13;8;2007;2;Gossip Girl;Drama
;24;137;Señal de humo;23;PG-13;9.8;2010;3;Ataque a los titanes;Drama
;19;122;Los siete magníficos;58;PG-13;8.5;2005;3;Supernatural;Drama
;4;60;Un asunto shinobi;21;PG-13;9.8;2007;5;Naruto Shippuden;Drama
;16;111;Piloto;43;R;9.3;2004;1;Dr. House;Drama
;30;153;Rose;45;G;9;2005;1;Doctor Who;Drama
;11;97;La primera polaroid;62;R;8.3;2017;2;13 reasons why;Drama
;30;155;Smith y Jones;45;G;9;2005;2;Doctor Who;Drama
;22;131;Episode 1;41;PG;8.6;2013;3;Peaky Blinders;Drama
;17;115;Gotas de lluvia sobre mi cabeza;42;R;8.7;2005;2;Grey's Anatomy;Drama
;4;57;La amenaza que se acerca en silencio;20;PG-13;9.8;2007;4;Naruto Shippuden;Drama
;27;144;Pilot;49;PG-13;9.2;2009;1;The Vampire Diaries;Drama
;1;5;Episode 5;64;R;8;2019;1;Sex Education;Drama
;9;91;Misadventure;60;PG-13;9.5;2016;2;The Crown;Drama
;17;114;La noche de un día difícil;40;R;8.7;2005;1;Grey's Anatomy;Drama
;7;86;Hemos vuelto;50;PG-13;8;2017;3;La Casa de Papel;Drama
;10;95;Empieza el juego;24;G;8.6;2015;3;My Hero Academia;Drama
;1;65;Episode 1;62;R;8;2019;2;Sex Education;Drama
;15;110;Los mejores planes;59;PG-13;9.2;2017;3;Atypical;Drama
;4;59;El precio del poder;20;PG-13;9.8;2007;5;Naruto Shippuden;Drama
;27;145;The Return;49;PG-13;9.2;2009;2;The Vampire Diaries;Drama
;16;113;Sentido;44;R;9.3;2004;3;Dr. House;Drama
;20;125;La mujer de acero;42;G;6.4;2015;3;Supergirl;Drama
;4;58;La invasión de Akatsuki;21;PG-13;9.8;2007;4;Naruto Shippuden;Drama
;10;94;Libreta de héroes;24;G;8.6;2015;2;My Hero Academia;Drama
;17;116;Llegó el momento;45;R;8.7;2005;3;Grey's Anatomy;Drama
;16;112;Aceptación;42;R;9.3;2004;2;Dr. House;Drama
;13;102;Capítulo 1: Corrientes traicioneras;55;PG-13;4.3;2017;1;Riverdale;Drama
;8;88;20 horas desaparecido;55;R;5.8;2018;2;Élite;Drama
;5;71;Mentiras;44;PG-13;9.9;2017;1;Dark;Drama
;4;63;El viajero;20;PG-13;9.8;2007;7;Naruto Shippuden;Drama
;4;54;¡Formación: el nuevo equipo Kakashi!;20;PG-13;9.8;2007;2;Naruto Shippuden;Drama
;5;70;Secretos;51;PG-13;9.9;2017;1;Dark;Drama
;15;108;Antártida;60;PG-13;9.2;2017;1;Atypical;Drama
;1;66;Episode 2;66;R;8;2019;2;Sex Education;Drama
;5;74;Deja vu;60;PG-13;9.9;2017;3;Dark;Drama
;11;98;Si: soy la chica nueva;56;R;8.3;2017;3;13 reasons why;Drama
;13;103;Capítulo 14: Un beso antes de morir;60;PG-13;4.3;2017;2;Riverdale;Drama
;19;120;Wendigo;55;PG-13;8.5;2005;1;Supernatural;Drama
;1;3;Episode 3;59;R;8;2019;1;Sex Education;Drama
;24;135;A ti: 2.000 años en el futuro;23;PG-13;9.8;2010;1;Ataque a los titanes;Drama
;8;89;Carla;58;R;5.8;2018;3;Élite;Drama
;4;55;Pesadilla;21;PG-13;9.8;2007;3;Naruto Shippuden;Drama
;4;51;El regreso a casa;22;PG-13;9.8;2007;1;Naruto Shippuden;Drama
;27;145;The Return;49;PG-13;9.2;2009;2;The Vampire Diaries;Drama
;7;85;Se acabaron las máscaras;50;PG-13;8;2017;2;La Casa de Papel;Drama
;13;104;Capítulo 36: Día del Trabajo;62;PG-13;4.3;2017;3;Riverdale;Drama
;27;146;The Birthday;49;PG-13;9.2;2009;3;The Vampire Diaries;Drama
;7;84;Efectuar lo acordado;50;PG-13;8;2017;1;La Casa de Papel;Drama
;9;90;Wolferton Splash;62;PG-13;9.5;2016;1;The Crown;Drama
;1;69;Episode 5;64;R;8;2019;2;Sex Education;Drama
;20;123;Más fuertes juntos;35;G;6.4;2015;1;Supergirl;Drama
;4;64;El sucesor de la técnica prohibida;22;PG-13;9.8;2007;7;Naruto Shippuden;Drama
;30;154;Nueva tierra;46;G;9;2005;2;Doctor Who;Drama
;22;130;Episode 1;42;PG;8.6;2013;2;Peaky Blinders;Drama
;1;1;Episode 1;62;R;8;2019;1;Sex Education;Drama
;4;52;El Akatsuki comienza a moverse;20;PG-13;9.8;2007;1;Naruto Shippuden;Drama
;8;87;Bienvenidos;60;R;5.8;2018;1;Élite;Drama
;27;144;Pilot;49;PG-13;9.2;2009;1;The Vampire Diaries;Drama
;4;62;Ojo de halcón;20;PG-13;9.8;2007;6;Naruto Shippuden;Drama
;24;136;El titán bestia;23;PG-13;9.8;2010;2;Ataque a los titanes;Drama
;1;67;Episode 3;59;R;8;2019;2;Sex Education;Drama
;1;4;Episode 4;65;R;8;2019;1;Sex Education;Drama
;12;99;El fin y el comienzo;20;G;10;2014;1;Haikyuu!!;Deporte
;12;101;Saludos;21;G;10;2014;3;Haikyuu!!;Deporte
;12;100;¡Vamos a Tokyo!;22;G;10;2014;2;Haikyuu!!;Deporte
;13;103;Capítulo 14: Un beso antes de morir;60;PG-13;4.3;2017;2;Riverdale;Crimen
;22;130;Episode 1;42;PG;8.6;2013;2;Peaky Blinders;Crimen
;29;152;Many Happy Returns;60;PG-13;9.2;2010;3;Sherlock;Crimen
;13;104;Capítulo 36: Día del Trabajo;62;PG-13;4.3;2017;3;Riverdale;Crimen
;13;102;Capítulo 1: Corrientes traicioneras;55;PG-13;4.3;2017;1;Riverdale;Crimen
;7;86;Hemos vuelto;50;PG-13;8;2017;3;La Casa de Papel;Crimen
;22;129;Episode 1;40;PG;8.6;2013;1;Peaky Blinders;Crimen
;7;84;Efectuar lo acordado;50;PG-13;8;2017;1;La Casa de Papel;Crimen
;29;150;Estudio en rosa;60;PG-13;9.2;2010;1;Sherlock;Crimen
;29;151;Escándalo en Belgravia;60;PG-13;9.2;2010;2;Sherlock;Crimen
;22;131;Episode 1;41;PG;8.6;2013;3;Peaky Blinders;Crimen
;7;85;Se acabaron las máscaras;50;PG-13;8;2017;2;La Casa de Papel;Crimen
;2;8;El del pulgar;21;PG;9.5;1994;1;Friends;Comedia
;2;12;El de la leche materna;22;PG;9.5;1994;2;Friends;Comedia
;19;122;Los siete magníficos;58;PG-13;8.5;2005;3;Supernatural;Comedia
;20;124;Las aventuras de Supergirl;40;G;6.4;2015;2;Supergirl;Comedia
;17;114;La noche de un día difícil;40;R;8.7;2005;1;Grey's Anatomy;Comedia
;12;101;Saludos;21;G;10;2014;3;Haikyuu!!;Comedia
;6;77;El arbol furioso;31;G;10;2003;1;31 minutos;Comedia
;2;9;El de George Stephanopoulos;23;PG;9.5;1994;1;Friends;Comedia
;6;76;El comienzo;29;G;10;2003;1;31 minutos;Comedia
;4;53;El nuevo objetivo;22;PG-13;9.8;2007;2;Naruto Shippuden;Comedia
;1;5;Episode 5;64;R;8;2019;1;Sex Education;Comedia
;2;20;El de Frank Jr.;26;PG;9.5;1994;3;Friends;Comedia
;17;116;Llegó el momento;45;R;8.7;2005;3;Grey's Anatomy;Comedia
;1;66;Episode 2;66;R;8;2019;2;Sex Education;Comedia
;17;115;Gotas de lluvia sobre mi cabeza;42;R;8.7;2005;2;Grey's Anatomy;Comedia
;1;65;Episode 1;62;R;8;2019;2;Sex Education;Comedia
;21;126;Simpsons Roasting on an Open Fire;20;PG-13;9.1;1989;1;Los Simpsons;Comedia
;15;109;Empapada;62;PG-13;9.2;2017;2;Atypical;Comedia
;16;111;Piloto;43;R;9.3;2004;1;Dr. House;Comedia
;26;143;El despertar;24;G;7.9;2005;3;Avatar: la leyenda de Aang;Comedia
;4;58;La invasión de Akatsuki;21;PG-13;9.8;2007;4;Naruto Shippuden;Comedia
;2;18;El de la mermelada;24;PG;9.5;1994;3;Friends;Comedia
;6;79;Relox;32;G;10;2003;2;31 minutos;Comedia
;2;21;El de la medusa;22;PG;9.5;1994;4;Friends;Comedia
;4;55;Pesadilla;21;PG-13;9.8;2007;3;Naruto Shippuden;Comedia
;26;142;El estado avatar;24;G;7.9;2005;2;Avatar: la leyenda de Aang;Comedia
;4;56;Viento;20;PG-13;9.8;2007;3;Naruto Shippuden;Comedia
;2;7;El de la ecografía final;20;PG;9.5;1994;1;Friends;Comedia
;24;136;El titán bestia;23;PG-13;9.8;2010;2;Ataque a los titanes;Comedia
;20;125;La mujer de acero;42;G;6.4;2015;3;Supergirl;Comedia
;2;14;El esposo de Phoebe;24;PG;9.5;1994;2;Friends;Comedia
;2;6;En el que todo empieza;22;PG;9.5;1994;1;Friends;Comedia
;14;106;Un x Guardián x Peligroso;24;G;7.5;2011;2;Hunter x Hunter;Comedia
;2;26;El de después de que Ross dijera el nombre de Rachel;22;PG;9.5;1994;5;Friends;Comedia
;4;60;Un asunto shinobi;21;PG-13;9.8;2007;5;Naruto Shippuden;Comedia
;1;3;Episode 3;59;R;8;2019;1;Sex Education;Comedia
;1;67;Episode 3;59;R;8;2019;2;Sex Education;Comedia
;2;23;El de las esposas;24;PG;9.5;1994;4;Friends;Comedia
;20;123;Más fuertes juntos;35;G;6.4;2015;1;Supergirl;Comedia
;2;27;El de los besos;24;PG;9.5;1994;5;Friends;Comedia
;16;112;Aceptación;42;R;9.3;2004;2;Dr. House;Comedia
;24;135;A ti: 2.000 años en el futuro;23;PG-13;9.8;2010;1;Ataque a los titanes;Comedia
;4;54;¡Formación: el nuevo equipo Kakashi!;20;PG-13;9.8;2007;2;Naruto Shippuden;Comedia
;12;99;El fin y el comienzo;20;G;10;2014;1;Haikyuu!!;Comedia
;4;61;La pupila de la serpiente;20;PG-13;9.8;2007;6;Naruto Shippuden;Comedia
;2;29;El que Phoebe odia la PBS;26;PG;9.5;1994;5;Friends;Comedia
;12;100;¡Vamos a Tokyo!;22;G;10;2014;2;Haikyuu!!;Comedia
;6;83;Cirugía;32;G;10;2003;4;31 minutos;Comedia
;2;15;El de la carne para cinco y una berenjena;26;PG;9.5;1994;2;Friends;Comedia
;24;137;Señal de humo;23;PG-13;9.8;2010;3;Ataque a los titanes;Comedia
;1;1;Episode 1;62;R;8;2019;1;Sex Education;Comedia
;2;24;El de los bailes de salón;24;PG;9.5;1994;4;Friends;Comedia
;2;13;El de cuando muere Heckles;23;PG;9.5;1994;2;Friends;Comedia
;4;59;El precio del poder;20;PG-13;9.8;2007;5;Naruto Shippuden;Comedia
;6;82;La mona lisa;32;G;10;2003;4;31 minutos;Comedia
;4;62;Ojo de halcón;20;PG-13;9.8;2007;6;Naruto Shippuden;Comedia
;2;22;El de la gata;26;PG;9.5;1994;4;Friends;Comedia
;26;141;El niño en el iceberg;24;G;7.9;2005;1;Avatar: la leyenda de Aang;Comedia
;19;120;Wendigo;55;PG-13;8.5;2005;1;Supernatural;Comedia
;2;30;El de los Kips;22;PG;9.5;1994;5;Friends;Comedia
;2;11;El de la nueva novia de Ross;25;PG;9.5;1994;2;Friends;Comedia
;14;107;Respuesta de papa;24;G;7.5;2011;3;Hunter x Hunter;Comedia
;21;127;"Bart Gets an ""F""";20;PG-13;9.1;1989;2;Los Simpsons;Comedia
;2;16;El de la fantasía de la Princesa Leia;25;PG;9.5;1994;3;Friends;Comedia
;4;64;El sucesor de la técnica prohibida;22;PG-13;9.8;2007;7;Naruto Shippuden;Comedia
;15;108;Antártida;60;PG-13;9.2;2017;1;Atypical;Comedia
;6;80;Por el sr. manguera;28;G;10;2003;3;31 minutos;Comedia
;1;69;Episode 5;64;R;8;2019;2;Sex Education;Comedia
;2;28;El de los trillizos;24;PG;9.5;1994;5;Friends;Comedia
;14;105;Partida x Y x Compañeros;24;G;7.5;2011;1;Hunter x Hunter;Comedia
;4;51;El regreso a casa;22;PG-13;9.8;2007;1;Naruto Shippuden;Comedia
;16;113;Sentido;44;R;9.3;2004;3;Dr. House;Comedia
;19;121;En mi tiempo de morir;50;PG-13;8.5;2005;2;Supernatural;Comedia
;2;25;El de la nueva novia de Joey;26;PG;9.5;1994;4;Friends;Comedia
;2;19;El del túnel metafórico;22;PG;9.5;1994;3;Friends;Comedia
;21;128;Stark Raving Dad;20;PG-13;9.1;1989;3;Los Simpsons;Comedia
;6;81;La maquina del tiempo;31;G;10;2003;3;31 minutos;Comedia
;1;68;Episode 4;65;R;8;2019;2;Sex Education;Comedia
;4;63;El viajero;20;PG-13;9.8;2007;7;Naruto Shippuden;Comedia
;4;57;La amenaza que se acerca en silencio;20;PG-13;9.8;2007;4;Naruto Shippuden;Comedia
;1;4;Episode 4;65;R;8;2019;1;Sex Education;Comedia
;6;78;Vacaciones;34;G;10;2003;2;31 minutos;Comedia
;2;17;El de cuando nadie está listo;22;PG;9.5;1994;3;Friends;Comedia
;15;110;Los mejores planes;59;PG-13;9.2;2017;3;Atypical;Comedia
;4;52;El Akatsuki comienza a moverse;20;PG-13;9.8;2007;1;Naruto Shippuden;Comedia
;1;2;Episode 2;66;R;8;2019;1;Sex Education;Comedia
;2;10;El del detergente de lavandería germano-oriental;22;PG;9.5;1994;1;Friends;Comedia
;24;136;El titán bestia;23;PG-13;9.8;2010;2;Ataque a los titanes;Ciencia ficción apocalíptica
;24;137;Señal de humo;23;PG-13;9.8;2010;3;Ataque a los titanes;Ciencia ficción apocalíptica
;24;135;A ti: 2.000 años en el futuro;23;PG-13;9.8;2010;1;Ataque a los titanes;Ciencia ficción apocalíptica
;20;124;Las aventuras de Supergirl;40;G;6.4;2015;2;Supergirl;Ciencia ficción
;5;73;Materia oscura;54;PG-13;9.9;2017;2;Dark;Ciencia ficción
;30;155;Smith y Jones;45;G;9;2005;2;Doctor Who;Ciencia ficción
;20;125;La mujer de acero;42;G;6.4;2015;3;Supergirl;Ciencia ficción
;5;71;Mentiras;44;PG-13;9.9;2017;1;Dark;Ciencia ficción
;10;94;Libreta de héroes;24;G;8.6;2015;2;My Hero Academia;Ciencia ficción
;5;72;Principios y finales;53;PG-13;9.9;2017;2;Dark;Ciencia ficción
;25;140;Interludio;23;PG;8.6;2003;3;Full Metal Alchemist Brotherhood;Ciencia ficción
;24;136;El titán bestia;23;PG-13;9.8;2010;2;Ataque a los titanes;Ciencia ficción
;5;75;Los sobrevivientes;59;PG-13;9.9;2017;3;Dark;Ciencia ficción
;25;139;Los que acechan bajo tierra;23;PG;8.6;2003;2;Full Metal Alchemist Brotherhood;Ciencia ficción
;10;95;Empieza el juego;24;G;8.6;2015;3;My Hero Academia;Ciencia ficción
;5;70;Secretos;51;PG-13;9.9;2017;1;Dark;Ciencia ficción
;24;137;Señal de humo;23;PG-13;9.8;2010;3;Ataque a los titanes;Ciencia ficción
;10;93;Midoriya Izuku: Origen;24;G;8.6;2015;1;My Hero Academia;Ciencia ficción
;20;123;Más fuertes juntos;35;G;6.4;2015;1;Supergirl;Ciencia ficción
;25;138;El alquimista de acero;23;PG;8.6;2003;1;Full Metal Alchemist Brotherhood;Ciencia ficción
;30;154;Nueva tierra;46;G;9;2005;2;Doctor Who;Ciencia ficción
;30;153;Rose;45;G;9;2005;1;Doctor Who;Ciencia ficción
;5;74;Deja vu;60;PG-13;9.9;2017;3;Dark;Ciencia ficción
;24;135;A ti: 2.000 años en el futuro;23;PG-13;9.8;2010;1;Ataque a los titanes;Ciencia ficción
;4;63;El viajero;20;PG-13;9.8;2007;7;Naruto Shippuden;Aventura
;25;139;Los que acechan bajo tierra;23;PG;8.6;2003;2;Full Metal Alchemist Brotherhood;Aventura
;3;48;Los Hermanos Nijimura (Parte 1);23;PG;10;2012;4;Jojo's Bizarre Adventure;Aventura
;3;37;El maestro del juego;23;PG;10;2012;2;Jojo's Bizarre Adventure;Aventura
;26;141;El niño en el iceberg;24;G;7.9;2005;1;Avatar: la leyenda de Aang;Aventura
;30;154;Nueva tierra;46;G;9;2005;2;Doctor Who;Aventura
;3;32;Una carta del pasado;23;PG;10;2012;1;Jojo's Bizarre Adventure;Aventura
;20;123;Más fuertes juntos;35;G;6.4;2015;1;Supergirl;Aventura
;4;64;El sucesor de la técnica prohibida;22;PG-13;9.8;2007;7;Naruto Shippuden;Aventura
;19;121;En mi tiempo de morir;50;PG-13;8.5;2005;2;Supernatural;Aventura
;3;39;Jojo vs. la forma de vida definitiva;23;PG;10;2012;2;Jojo's Bizarre Adventure;Aventura
;4;52;El Akatsuki comienza a moverse;20;PG-13;9.8;2007;1;Naruto Shippuden;Aventura
;3;50;Los Hermanos Nijimura (Parte 3);23;PG;10;2012;4;Jojo's Bizarre Adventure;Aventura
;29;152;Many Happy Returns;60;PG-13;9.2;2010;3;Sherlock;Aventura
;3;34;Overdrive;23;PG;10;2012;1;Jojo's Bizarre Adventure;Aventura
;26;142;El estado avatar;24;G;7.9;2005;2;Avatar: la leyenda de Aang;Aventura
;4;56;Viento;20;PG-13;9.8;2007;3;Naruto Shippuden;Aventura
;19;120;Wendigo;55;PG-13;8.5;2005;1;Supernatural;Aventura
;4;57;La amenaza que se acerca en silencio;20;PG-13;9.8;2007;4;Naruto Shippuden;Aventura
;3;35;Los caballeros oscuros;23;PG;10;2012;1;Jojo's Bizarre Adventure;Aventura
;30;155;Smith y Jones;45;G;9;2005;2;Doctor Who;Aventura
;3;33;Juventud con dio;23;PG;10;2012;1;Jojo's Bizarre Adventure;Aventura
;18;118;Llegó de la Nocheósfera;21;G;9.4;2010;2;Hora de aventura;Aventura
;4;54;¡Formación: el nuevo equipo Kakashi!;20;PG-13;9.8;2007;2;Naruto Shippuden;Aventura
;4;59;El precio del poder;20;PG-13;9.8;2007;5;Naruto Shippuden;Aventura
;20;125;La mujer de acero;42;G;6.4;2015;3;Supergirl;Aventura
;3;44;Tower of gray;23;PG;10;2012;3;Jojo's Bizarre Adventure;Aventura
;4;60;Un asunto shinobi;21;PG-13;9.8;2007;5;Naruto Shippuden;Aventura
;19;122;Los siete magníficos;58;PG-13;8.5;2005;3;Supernatural;Aventura
;3;49;Los Hermanos Nijimura (Parte 2);23;PG;10;2012;4;Jojo's Bizarre Adventure;Aventura
;3;42;¡¿quién será el juez?!;23;PG;10;2012;3;Jojo's Bizarre Adventure;Aventura
;25;140;Interludio;23;PG;8.6;2003;3;Full Metal Alchemist Brotherhood;Aventura
;4;62;Ojo de halcón;20;PG-13;9.8;2007;6;Naruto Shippuden;Aventura
;3;41;un hombre poseído por un espíritu maligno;23;PG;10;2012;3;Jojo's Bizarre Adventure;Aventura
;3;46;¡Jotaro Kujo! Conoce a Josuke Higashikata;23;PG;10;2012;4;Jojo's Bizarre Adventure;Aventura
;18;117;Panico en la fiesta del palacio;21;G;9.4;2010;1;Hora de aventura;Aventura
;3;47;¡Josuke Higashikata! Conoce a Angelo;23;PG;10;2012;4;Jojo's Bizarre Adventure;Aventura
;25;138;El alquimista de acero;23;PG;8.6;2003;1;Full Metal Alchemist Brotherhood;Aventura
;29;150;Estudio en rosa;60;PG-13;9.2;2010;1;Sherlock;Aventura
;3;36;El jojo de nueva york;23;PG;10;2012;2;Jojo's Bizarre Adventure;Aventura
;4;53;El nuevo objetivo;22;PG-13;9.8;2007;2;Naruto Shippuden;Aventura
;3;45;Silver Chariot;23;PG;10;2012;3;Jojo's Bizarre Adventure;Aventura
;4;55;Pesadilla;21;PG-13;9.8;2007;3;Naruto Shippuden;Aventura
;18;119;El recuerdo de un recuerdo;21;G;9.4;2010;3;Hora de aventura;Aventura
;4;51;El regreso a casa;22;PG-13;9.8;2007;1;Naruto Shippuden;Aventura
;30;153;Rose;45;G;9;2005;1;Doctor Who;Aventura
;4;61;La pupila de la serpiente;20;PG-13;9.8;2007;6;Naruto Shippuden;Aventura
;3;38;El hombre del pilar;23;PG;10;2012;2;Jojo's Bizarre Adventure;Aventura
;3;31;Dio: el invasor;23;PG;10;2012;1;Jojo's Bizarre Adventure;Aventura
;3;40;Los guerreros definitivos de tiempos antiguos;23;PG;10;2012;2;Jojo's Bizarre Adventure;Aventura
;4;58;La invasión de Akatsuki;21;PG-13;9.8;2007;4;Naruto Shippuden;Aventura
;3;43;La maldición de dio;23;PG;10;2012;3;Jojo's Bizarre Adventure;Aventura
;26;143;El despertar;24;G;7.9;2005;3;Avatar: la leyenda de Aang;Aventura
;29;151;Escándalo en Belgravia;60;PG-13;9.2;2010;2;Sherlock;Aventura
;20;124;Las aventuras de Supergirl;40;G;6.4;2015;2;Supergirl;Aventura
;4;55;Pesadilla;21;PG-13;9.8;2007;3;Naruto Shippuden;Acción
;3;38;El hombre del pilar;23;PG;10;2012;2;Jojo's Bizarre Adventure;Acción
;4;61;La pupila de la serpiente;20;PG-13;9.8;2007;6;Naruto Shippuden;Acción
;4;59;El precio del poder;20;PG-13;9.8;2007;5;Naruto Shippuden;Acción
;14;105;Partida x Y x Compañeros;24;G;7.5;2011;1;Hunter x Hunter;Acción
;10;95;Empieza el juego;24;G;8.6;2015;3;My Hero Academia;Acción
;4;57;La amenaza que se acerca en silencio;20;PG-13;9.8;2007;4;Naruto Shippuden;Acción
;4;58;La invasión de Akatsuki;21;PG-13;9.8;2007;4;Naruto Shippuden;Acción
;4;60;Un asunto shinobi;21;PG-13;9.8;2007;5;Naruto Shippuden;Acción
;3;42;¡¿quién será el juez?!;23;PG;10;2012;3;Jojo's Bizarre Adventure;Acción
;3;39;Jojo vs. la forma de vida definitiva;23;PG;10;2012;2;Jojo's Bizarre Adventure;Acción
;3;43;La maldición de dio;23;PG;10;2012;3;Jojo's Bizarre Adventure;Acción
;3;45;Silver Chariot;23;PG;10;2012;3;Jojo's Bizarre Adventure;Acción
;19;120;Wendigo;55;PG-13;8.5;2005;1;Supernatural;Acción
;20;123;Más fuertes juntos;35;G;6.4;2015;1;Supergirl;Acción
;10;94;Libreta de héroes;24;G;8.6;2015;2;My Hero Academia;Acción
;14;106;Un x Guardián x Peligroso;24;G;7.5;2011;2;Hunter x Hunter;Acción
;3;36;El jojo de nueva york;23;PG;10;2012;2;Jojo's Bizarre Adventure;Acción
;3;46;¡Jotaro Kujo! Conoce a Josuke Higashikata;23;PG;10;2012;4;Jojo's Bizarre Adventure;Acción
;3;50;Los Hermanos Nijimura (Parte 3);23;PG;10;2012;4;Jojo's Bizarre Adventure;Acción
;19;122;Los siete magníficos;58;PG-13;8.5;2005;3;Supernatural;Acción
;4;54;¡Formación: el nuevo equipo Kakashi!;20;PG-13;9.8;2007;2;Naruto Shippuden;Acción
;3;41;un hombre poseído por un espíritu maligno;23;PG;10;2012;3;Jojo's Bizarre Adventure;Acción
;4;62;Ojo de halcón;20;PG-13;9.8;2007;6;Naruto Shippuden;Acción
;4;64;El sucesor de la técnica prohibida;22;PG-13;9.8;2007;7;Naruto Shippuden;Acción
;3;34;Overdrive;23;PG;10;2012;1;Jojo's Bizarre Adventure;Acción
;24;136;El titán bestia;23;PG-13;9.8;2010;2;Ataque a los titanes;Acción
;3;33;Juventud con dio;23;PG;10;2012;1;Jojo's Bizarre Adventure;Acción
;19;121;En mi tiempo de morir;50;PG-13;8.5;2005;2;Supernatural;Acción
;3;48;Los Hermanos Nijimura (Parte 1);23;PG;10;2012;4;Jojo's Bizarre Adventure;Acción
;3;44;Tower of gray;23;PG;10;2012;3;Jojo's Bizarre Adventure;Acción
;3;47;¡Josuke Higashikata! Conoce a Angelo;23;PG;10;2012;4;Jojo's Bizarre Adventure;Acción
;4;51;El regreso a casa;22;PG-13;9.8;2007;1;Naruto Shippuden;Acción
;3;32;Una carta del pasado;23;PG;10;2012;1;Jojo's Bizarre Adventure;Acción
;3;37;El maestro del juego;23;PG;10;2012;2;Jojo's Bizarre Adventure;Acción
;24;137;Señal de humo;23;PG-13;9.8;2010;3;Ataque a los titanes;Acción
;24;135;A ti: 2.000 años en el futuro;23;PG-13;9.8;2010;1;Ataque a los titanes;Acción
;20;125;La mujer de acero;42;G;6.4;2015;3;Supergirl;Acción
;4;53;El nuevo objetivo;22;PG-13;9.8;2007;2;Naruto Shippuden;Acción
;3;35;Los caballeros oscuros;23;PG;10;2012;1;Jojo's Bizarre Adventure;Acción
;14;107;Respuesta de papa;24;G;7.5;2011;3;Hunter x Hunter;Acción
;4;63;El viajero;20;PG-13;9.8;2007;7;Naruto Shippuden;Acción
;3;49;Los Hermanos Nijimura (Parte 2);23;PG;10;2012;4;Jojo's Bizarre Adventure;Acción
;3;40;Los guerreros definitivos de tiempos antiguos;23;PG;10;2012;2;Jojo's Bizarre Adventure;Acción
;20;124;Las aventuras de Supergirl;40;G;6.4;2015;2;Supergirl;Acción
;10;93;Midoriya Izuku: Origen;24;G;8.6;2015;1;My Hero Academia;Acción
;4;52;El Akatsuki comienza a moverse;20;PG-13;9.8;2007;1;Naruto Shippuden;Acción
;3;31;Dio: el invasor;23;PG;10;2012;1;Jojo's Bizarre Adventure;Acción
;4;56;Viento;20;PG-13;9.8;2007;3;Naruto Shippuden;Acción
;23;132;Pilot;22;PG;8.3;2013;1;Rick y Morty;Acción
;23;134;The Rickshank Rickdemption;22;PG;8.3;2013;3;Rick y Morty;Acción
;23;133;A Rickle in Time;22;PG;8.3;2013;2;Rick y Morty;Acción
